ILMN_1655864,ILMN_1657898,ILMN_1671005,ILMN_1677756,ILMN_1687526,ILMN_1701962,ILMN_1704335,ILMN_1713764,ILMN_1725707,ILMN_1758687,ILMN_1763364,ILMN_1765725,ILMN_1775304,ILMN_1780334,ILMN_1794233,ILMN_1804988,ILMN_1812970,ILMN_1875248,ILMN_2082762,ILMN_2159384,Results
9.3206,8.1239,11.6521,10.1244,9.0226,8.9134,8.6629,8.1932,10.4587,8.2752,9.8148,9.8515,11.0575,8.1821,8.6194,11.1506,8.4495,8.4811,10.6458,9.1441,Scleroderma only
9.1807,8.2152,11.4096,9.8186,8.9882,8.675,8.6487,8.2946,10.8356,8.4233,9.8664,9.6101,11.3808,8.3272,8.7214,10.9974,8.1941,8.3332,10.6055,9.3643,Scleroderma only
9.2049,8.4149,11.1369,9.0835,9.2788,8.6987,8.7792,8.0664,10.4198,9.2259,9.6487,9.7524,11.2918,8.1775,8.8398,11.0473,8.5809,8.7699,11.3335,9.4078,Scleroderma only
9.3621,8.1508,11.4261,9.4672,9.5312,8.9158,8.9459,8.0414,10.239,9.1337,9.851,10.0943,11.3892,8.8712,8.8366,10.8963,8.5405,8.1595,10.8148,9.7199,Scleroderma only
9.0062,8.3462,11.7287,9.9129,9.2898,8.9294,9.2875,7.9768,10.5353,9.4404,10.3263,10.2514,11.5174,8.1283,8.9225,11.1806,8.8712,8.5946,11.1085,9.4962,Scleroderma only
9.2181,8.1532,11.4126,9.147,9.6825,8.8434,8.9111,8.3979,10.7213,8.8898,9.7037,9.9875,11.0898,8.5158,8.8,11.2795,8.107,8.383,11.0509,9.5787,Scleroderma only
8.8602,8.4172,10.9538,9.2697,9.0447,8.3839,8.1596,8.6148,10.2069,8.6139,9.3084,9.3491,10.8954,8.4066,8.3951,10.4829,8.3054,8.0586,10.3828,9.1923,Scleroderma only
9.3558,8.4387,11.3351,9.7421,9.1282,8.6459,8.5724,8.4247,10.8264,8.7881,9.6355,9.9229,11.3253,9.1684,8.582,11.2979,8.8734,8.4352,11.1545,9.3699,Scleroderma only
8.5323,8.0885,10.0699,8.8103,8.4759,8.1123,8.0614,8.2389,9.5832,8.7118,8.8778,8.9181,9.9985,8.0079,8.4133,10.0047,8.0864,8.0845,10.0726,8.2421,Scleroderma only
8.9317,8.4175,11.1099,8.99,8.8824,8.8196,8.5637,8.5451,10.1107,8.8821,9.2779,9.3718,10.7843,8.4824,8.5084,10.865,8.2995,8.0737,10.7201,9.0863,Scleroderma only
8.5437,8.1238,10.1936,8.6852,8.6453,8.3635,8.1597,8.3206,9.7595,8.6755,8.8981,9.2182,10.0875,8.1452,8.3484,10.0747,7.992,8.1885,10.0134,8.6979,Scleroderma only
8.3574,7.9123,9.9955,8.4228,8.4724,8.2628,8.0426,8.3578,9.5814,8.4655,8.6555,9.0102,9.915,8.1116,8.5074,9.891,8.0664,8.1115,9.9353,8.2902,Scleroderma only
9.0177,8.2595,10.2042,9.1204,8.9163,8.5443,8.0781,8.3727,10.577,8.661,9.4672,9.1482,10.7074,9.2574,8.5225,10.7014,7.9376,8.3757,10.401,8.9532,Scleroderma only
9.0155,8.1874,11.0737,9.2612,9.0421,8.7567,8.4952,8.7048,10.5462,8.577,9.3808,9.7564,10.657,8.4083,8.336,11.2817,8.1419,8.22,10.7285,9.2228,Scleroderma only
8.8492,8.3474,11.0792,8.6595,8.8601,8.5442,8.1657,8.5116,10.7172,8.4669,9.2102,9.6889,11.0785,9.397,8.4411,10.6739,8.1664,8.3324,10.5038,8.9275,Scleroderma only
8.3414,8.4907,11.0612,8.6756,8.9574,8.6129,8.3638,8.7603,10.4226,8.4358,9.0939,9.5547,10.7089,8.8698,8.4977,10.4646,8.2155,8.1359,10.3469,9.1852,Scleroderma only
8.9181,8.0758,11.3116,9.4105,8.7057,8.7,9.0678,8.8631,10.5011,9.0289,10.0827,9.8221,10.9841,9.049,8.4832,10.871,8.4092,8.0468,10.7357,9.2442,Interstitial Lung Disease
8.1683,8.1548,9.9718,8.6911,8.413,8.3412,7.928,8.8031,9.7598,8.3252,9.0511,9.0063,9.6667,9.2549,8.6226,9.8007,8.1759,8.0213,9.9414,8.3168,Interstitial Lung Disease
8.6507,8.3515,9.9314,8.9874,8.5786,8.1997,7.9787,8.6307,9.986,8.4725,9.4097,8.9371,9.6435,9.4731,8.3248,9.763,7.8846,8.0609,9.9278,8.5941,Interstitial Lung Disease
7.9644,8.1298,9.9245,9.2402,8.3892,8.2272,8.4789,8.1894,9.4954,8.6776,9.1522,8.7972,10.2309,9.2268,8.2734,9.8371,8.0985,7.7588,9.6276,8.5739,Interstitial Lung Disease
8.2338,7.8227,10.2475,8.2981,8.3044,8.217,8.0825,8.9261,9.1934,8.5571,8.9848,8.6892,9.4871,9.1311,8.0801,9.9926,7.9038,7.7992,9.7684,8.4622,Interstitial Lung Disease
8.5636,8.5389,10.3319,8.7063,8.4905,8.267,8.1587,8.5719,10.1461,8.6988,9.1079,8.9368,10.4984,9.5294,8.3302,10.1482,7.8428,8.2241,9.8245,8.6638,Interstitial Lung Disease
8.5323,8.4399,10.0989,8.6219,8.9954,8.4407,8.1067,8.217,9.7969,8.9877,9.081,9.5849,10.5958,8.1645,8.5244,10.011,8.1281,8.3666,10.3925,8.9272,Interstitial Lung Disease
8.5553,8.0725,10.4364,9.1076,8.8451,8.4485,8.0858,8.7006,10.1708,8.4535,9.5531,9.1142,10.403,10.0586,8.4854,10.7669,8.0922,8.1955,10.482,8.6654,Interstitial Lung Disease
