ILMN_1655864,ILMN_1657898,ILMN_1671005,ILMN_1677756,ILMN_1687526,ILMN_1701962,ILMN_1704335,ILMN_1713764,ILMN_1725707,ILMN_1758687,ILMN_1763364,ILMN_1765725,ILMN_1775304,ILMN_1780334,ILMN_1794233,ILMN_1804988,ILMN_1812970,ILMN_1875248,ILMN_2082762,ILMN_2159384,Results
10.3724,9.0403,12.1153,10.4244,10.1953,9.7399,9.4672,7.7375,11.875,10.1643,11.143,10.8684,12.182,7.8142,9.3272,12.366,9.2076,9.53,11.5918,10.2755,control
9.8274,9.2004,11.7523,10.5009,9.5826,9.1137,9.1138,7.7872,11.0444,9.6654,10.3119,10.7403,12.0171,8.1388,9.3637,11.6742,9.4576,9.1161,11.9623,9.9652,control
9.0384,8.2395,10.5888,9.6889,8.9117,8.3847,8.4135,8.0917,9.6867,8.9132,9.6394,9.7628,10.7041,8.0019,8.8552,10.4089,8.3386,8.5145,10.4858,9.0855,control
10.108,9.0521,11.9023,10.6194,10.0187,9.392,9.3377,7.9314,10.8797,9.9948,10.157,10.7175,11.8883,8.0716,9.3181,11.5346,9.2736,8.7909,11.9709,9.9621,control
9.7252,8.9817,11.6351,10.427,10.0776,9.2771,9.2813,8.0322,10.6278,9.8721,10.1946,11.1117,12.3399,8.3086,9.4962,11.8502,9.3845,8.8171,12.1058,10.0259,control
8.3282,8.5423,10.9031,9.4584,9.2538,8.4635,8.651,8.3713,10.5328,8.6326,10.1328,10.0359,11.4253,8.73,8.7851,11.0891,8.117,8.381,10.8827,9.529,control
9.8276,8.5477,11.9447,10.3869,9.6748,9.0152,9.6698,8.1449,10.7339,8.911,10.3307,10.4321,12.3162,8.3878,8.8409,12.1848,9.0784,8.9023,11.6846,9.9492,control
8.5288,8.1702,10.132,8.4771,8.8661,8.2774,8.2346,8.0545,9.6288,8.662,8.8071,9.469,10.156,7.8612,8.3962,10.0817,8.1341,8.4844,9.9877,8.8544,control
9.1429,8.2081,11.2888,9.9989,9.2832,9.1051,9.8058,8.0792,10.4623,9.203,10.3531,10.423,11.5221,8.1335,8.7521,11.3903,8.7788,8.6947,11.5861,9.6,control
9.5006,8.3851,11.917,9.8482,9.349,8.8684,9.1048,7.988,10.4687,9.3165,10.0587,10.308,11.5362,8.2257,8.8146,11.1302,8.7371,8.3806,10.8934,9.8803,control
9.4386,8.5805,11.6229,10.1166,10.1587,9.0507,9.197,7.9563,10.2866,9.5273,10.2423,10.2161,11.5774,8.1454,9.2292,11.9767,9.0628,8.2557,11.4019,9.7056,control
9.1092,8.5531,11.8922,9.9481,9.3627,9.102,9.3738,8.2331,10.7858,9.3097,10.1965,10.1006,11.4495,8.2993,8.8082,11.7237,8.6614,8.5069,11.1612,9.7493,control
8.4004,8.2557,10.0821,8.841,8.5841,8.432,8.2664,8.0747,9.4498,8.6338,8.946,9.1305,9.9348,7.8865,8.4328,9.662,8.1121,8.2873,10.1612,8.4931,control
8.4138,8.3664,11.1024,9.4027,8.896,8.4025,8.2929,8.8482,10.6003,8.4604,10.0697,9.3211,10.888,10.0915,8.3297,10.7401,8.1279,7.927,9.9116,9.138,control
9.332,8.732,11.7319,9.8527,9.6004,8.982,9.0199,8.1494,10.7724,9.2001,10.1189,10.2926,11.8776,7.8966,8.6962,11.3612,8.6449,8.9032,11.3184,9.7502,control
9.1763,8.4578,11.3661,9.6742,9.4398,9.0092,9.5393,8.2836,10.5926,9.2799,8.7868,9.7145,11.3777,8.2032,8.6196,11.6061,8.491,8.4731,11.1457,8.7714,Idiopathic Pulmonary Arterial Hypertension
8.9436,8.6233,10.7061,10.0008,9.4936,9.2059,8.4962,7.9742,10.1963,8.9352,10.2061,10.2698,11.3839,8.0128,8.9105,10.9018,8.7184,8.6334,11.0146,9.6254,Idiopathic Pulmonary Arterial Hypertension
8.6801,7.8714,10.3414,9.0842,8.9768,8.3811,8.4929,8.3894,10.1852,8.6619,9.2821,9.8512,10.7994,9.5422,8.5536,10.4351,8.2685,8.1826,10.2095,9.1017,Idiopathic Pulmonary Arterial Hypertension
8.4126,8.0684,10.0876,8.54,8.4501,8.2688,8.228,8.0588,9.2743,8.7975,8.5395,9.0343,9.7711,8.4343,8.6227,9.3699,8.0375,8.1886,9.8217,8.4745,Idiopathic Pulmonary Arterial Hypertension
8.3119,8.0254,9.7372,8.3139,8.3242,8.1784,8.1895,8.2728,9.5611,8.6293,8.453,8.927,9.7877,8.3233,8.4134,9.4255,7.978,8.2181,9.7959,8.408,Idiopathic Pulmonary Arterial Hypertension
7.8678,8.1232,9.5368,8.2726,8.5032,8.1961,7.9788,8.3779,9.4719,8.5266,8.4,9.1441,9.5291,8.6112,8.4425,9.1702,7.9518,8.15,9.5393,8.3163,Idiopathic Pulmonary Arterial Hypertension
