ILMN_1687526,ILMN_1763364,ILMN_1794233,ILMN_1812970,ILMN_1875248,ILMN_2082762,Results
8.2176,8.5164,8.3927,7.9538,8.2348,9.806,Scleroderma with Pulmonary Arterial Hypertension
9.1259,9.0363,8.5457,8.3602,8.3268,10.6508,Scleroderma with Pulmonary Arterial Hypertension
9.027,9.7854,8.7606,8.1827,8.363,10.3663,Scleroderma with Pulmonary Arterial Hypertension
8.8206,8.8012,8.3068,8.0848,8.0083,9.9622,Scleroderma with Pulmonary Arterial Hypertension
9.2212,9.68,8.3074,7.9816,8.1285,10.3506,Scleroderma with Pulmonary Arterial Hypertension
8.471,8.7975,8.2592,8.002,7.9152,10.0775,Scleroderma with Pulmonary Arterial Hypertension
8.8275,9.2984,8.853,7.9948,7.8624,9.9282,Scleroderma with Pulmonary Arterial Hypertension
8.6028,9.1072,8.326,8.0557,8.1689,10.5681,Scleroderma with Pulmonary Arterial Hypertension
8.3964,9.2728,8.1898,7.6186,7.8956,9.5758,Scleroderma with Pulmonary Arterial Hypertension
8.741,9.5934,8.491,7.9871,8.0461,10.4751,Scleroderma with Pulmonary Arterial Hypertension
8.5469,9.0628,8.9221,7.8596,8.2305,9.8487,Scleroderma with Pulmonary Arterial Hypertension
8.6996,9.5488,8.5116,8.0076,7.8924,10.7217,Scleroderma with Pulmonary Arterial Hypertension
9.1092,9.9279,8.7857,8.0535,7.9894,10.533,Scleroderma with Pulmonary Arterial Hypertension
9.1845,9.8428,8.258,8.433,8.6349,10.7699,Scleroderma with Pulmonary Arterial Hypertension
9.2785,10.1691,8.9138,8.6741,8.4486,11.362,Scleroderma with Pulmonary Arterial Hypertension
8.5863,8.7751,8.0133,7.8648,8.1091,9.4628,Scleroderma with Pulmonary Arterial Hypertension
9.5101,9.6306,8.5639,8.3379,8.2977,10.7185,Scleroderma with Pulmonary Arterial Hypertension
8.8196,8.9625,8.5569,8.1597,8.1475,9.9395,Scleroderma with Pulmonary Arterial Hypertension
9.3337,9.8976,8.9647,8.4458,8.6309,11.2856,Scleroderma with Pulmonary Arterial Hypertension
8.794,9.3021,8.3366,8.0815,7.9377,10.0536,Scleroderma with Pulmonary Arterial Hypertension
8.6616,9.0594,8.1238,8.1084,8.0185,9.9239,Scleroderma with Pulmonary Arterial Hypertension
8.9801,9.2499,8.4073,8.3094,7.8971,10.4609,Scleroderma with Pulmonary Arterial Hypertension
9.0266,9.07,8.6741,8.1394,8.398,10.5804,Scleroderma with Pulmonary Arterial Hypertension
8.3906,9.6179,8.3441,7.9786,7.9819,9.9322,Scleroderma with Pulmonary Arterial Hypertension
8.5587,9.3113,8.2323,7.9833,8.1137,9.9367,Scleroderma with Pulmonary Arterial Hypertension
8.7901,9.1923,8.7033,8.0958,8.1576,10.1043,Scleroderma with Pulmonary Arterial Hypertension
8.4824,8.5391,8.3245,7.8174,8.2645,9.576,Scleroderma with Pulmonary Arterial Hypertension
8.7784,9.421,8.3576,8.2742,8.2099,10.1479,Scleroderma with Pulmonary Arterial Hypertension
8.8631,9.6534,8.5321,8.2109,7.9908,10.4108,Scleroderma with Pulmonary Arterial Hypertension
8.8681,9.5291,8.3753,7.845,8.2014,9.8445,Scleroderma with Pulmonary Arterial Hypertension
8.6317,9.4663,8.1796,7.8921,8.1822,10.172,Scleroderma with Pulmonary Arterial Hypertension
8.361,8.6024,8.2157,7.7628,8.0131,9.7251,Scleroderma with Pulmonary Arterial Hypertension
8.8388,8.646,8.3841,7.9786,8.2729,10.0339,Scleroderma with Pulmonary Arterial Hypertension
8.05,8.4938,8.4036,7.8989,8.0975,8.6922,Scleroderma with Pulmonary Arterial Hypertension
8.6956,9.1067,8.3451,8.0761,8.0505,10.2587,Scleroderma with Pulmonary Arterial Hypertension
8.7483,8.7458,8.3173,8.1505,8.392,10.2076,Scleroderma with Pulmonary Arterial Hypertension
8.3865,8.8817,8.5146,8.1291,8.1481,10.1655,Scleroderma only
8.5641,9.0096,8.5545,8.1761,8.1403,10.1424,Scleroderma only
8.4176,8.9917,8.3518,8.0396,8.1287,9.7885,Scleroderma only
9.0226,9.8148,8.6194,8.4495,8.4811,10.6458,Scleroderma only
8.9882,9.8664,8.7214,8.1941,8.3332,10.6055,Scleroderma only
9.2788,9.6487,8.8398,8.5809,8.7699,11.3335,Scleroderma only
9.5312,9.851,8.8366,8.5405,8.1595,10.8148,Scleroderma only
9.2898,10.3263,8.9225,8.8712,8.5946,11.1085,Scleroderma only
9.6825,9.7037,8.8,8.107,8.383,11.0509,Scleroderma only
9.0447,9.3084,8.3951,8.3054,8.0586,10.3828,Scleroderma only
9.1282,9.6355,8.582,8.8734,8.4352,11.1545,Scleroderma only
8.4759,8.8778,8.4133,8.0864,8.0845,10.0726,Scleroderma only
8.8824,9.2779,8.5084,8.2995,8.0737,10.7201,Scleroderma only
8.6453,8.8981,8.3484,7.992,8.1885,10.0134,Scleroderma only
8.4724,8.6555,8.5074,8.0664,8.1115,9.9353,Scleroderma only
8.9163,9.4672,8.5225,7.9376,8.3757,10.401,Scleroderma only
9.0421,9.3808,8.336,8.1419,8.22,10.7285,Scleroderma only
8.8601,9.2102,8.4411,8.1664,8.3324,10.5038,Scleroderma only
8.9574,9.0939,8.4977,8.2155,8.1359,10.3469,Scleroderma only
8.7057,10.0827,8.4832,8.4092,8.0468,10.7357,Interstitial Lung Disease
8.413,9.0511,8.6226,8.1759,8.0213,9.9414,Interstitial Lung Disease
8.5786,9.4097,8.3248,7.8846,8.0609,9.9278,Interstitial Lung Disease
8.3892,9.1522,8.2734,8.0985,7.7588,9.6276,Interstitial Lung Disease
8.3044,8.9848,8.0801,7.9038,7.7992,9.7684,Interstitial Lung Disease
8.4905,9.1079,8.3302,7.8428,8.2241,9.8245,Interstitial Lung Disease
8.9954,9.081,8.5244,8.1281,8.3666,10.3925,Interstitial Lung Disease
8.8451,9.5531,8.4854,8.0922,8.1955,10.482,Interstitial Lung Disease
