ILMN_1654609,ILMN_1657898,ILMN_1671005,ILMN_1680347,ILMN_1717229,ILMN_1755911,ILMN_1767168,ILMN_1794233,ILMN_1803561,ILMN_1812970,ILMN_2159384,ILMN_2165762,Results
12.6416,7.8714,10.3414,9.9999,9.0285,8.3021,8.4475,8.5536,8.8154,8.2685,9.1017,8.8683,Idiopathic Pulmonary Arterial Hypertension
11.332,8.0684,10.0876,9.2172,8.507,8.4189,8.4831,8.6227,8.4316,8.0375,8.4745,8.7554,Idiopathic Pulmonary Arterial Hypertension
11.6887,8.0254,9.7372,9.4628,8.6632,8.5725,8.4793,8.4134,8.6161,7.978,8.408,9.1223,Idiopathic Pulmonary Arterial Hypertension
11.4027,8.1232,9.5368,9.1589,8.5816,8.4182,8.5569,8.4425,8.6473,7.9518,8.3163,8.7821,Idiopathic Pulmonary Arterial Hypertension
11.6724,8.0718,9.5018,9.1521,8.6107,8.541,8.8283,8.4142,8.4666,8.0201,8.5251,8.8609,Idiopathic Pulmonary Arterial Hypertension
12.7073,8.1111,10.5668,10.3596,9.5798,8.4165,8.2075,8.5397,8.9983,8.1205,8.9942,8.9963,Idiopathic Pulmonary Arterial Hypertension
12.5727,8.3234,11.1158,10.3554,8.888,8.618,8.4848,8.5826,8.4695,8.1254,9.1484,9.1519,Idiopathic Pulmonary Arterial Hypertension
10.8728,7.9987,8.9364,8.8928,8.3386,8.3106,8.3082,8.4917,8.5324,8.037,8.0549,8.6465,Idiopathic Pulmonary Arterial Hypertension
11.6365,8.1405,9.4023,9.0579,8.5436,8.3561,8.5502,8.4911,8.4613,7.935,8.353,8.9018,Idiopathic Pulmonary Arterial Hypertension
12.6459,8.2065,11.0087,10.4175,9.6389,8.458,8.2976,8.5773,8.7675,8.3168,9.1545,9.3497,Idiopathic Pulmonary Arterial Hypertension
12.7996,8.2659,11.0005,10.4167,9.7096,8.739,8.4838,8.4086,9.1936,8.0891,9.248,9.3915,Idiopathic Pulmonary Arterial Hypertension
12.1695,8.2786,10.4699,10.0973,8.9972,8.2559,8.4792,8.4815,8.5569,7.9789,8.9527,9.1792,Idiopathic Pulmonary Arterial Hypertension
10.9535,8.0512,9.9258,9.2916,8.5042,8.3438,8.3263,8.318,8.685,7.9828,8.1142,8.7361,Idiopathic Pulmonary Arterial Hypertension
12.0385,8.0531,10.3225,9.9589,8.9885,8.2992,8.3114,8.2361,8.818,7.9064,8.8347,8.4277,Idiopathic Pulmonary Arterial Hypertension
12.9005,8.1926,10.7045,10.3637,8.7508,8.3566,8.9996,8.3901,8.3452,8.1648,9.1607,9.1392,Idiopathic Pulmonary Arterial Hypertension
12.5929,8.2523,10.2881,10.374,8.9846,8.3349,8.6141,8.4756,8.2523,8.0135,9.0039,8.7501,Idiopathic Pulmonary Arterial Hypertension
12.8575,8.3071,10.3516,10.0558,9.3816,8.5241,8.3457,8.5809,8.6757,7.9005,9.0388,8.9836,Idiopathic Pulmonary Arterial Hypertension
13.0298,8.2531,10.8714,9.9906,9.2893,8.4496,8.5376,8.5399,8.7944,8.1025,9.1081,8.8547,Idiopathic Pulmonary Arterial Hypertension
11.8977,8.144,10.2174,9.2284,8.8765,8.3474,8.631,8.7032,8.3487,8.2277,8.7085,9.2334,Idiopathic Pulmonary Arterial Hypertension
11.6689,8.3113,10.3248,9.4962,9.2438,8.4507,8.3215,8.5948,8.6171,8.1117,8.6769,9.1925,Idiopathic Pulmonary Arterial Hypertension
11.0643,7.9687,9.8188,9.2025,8.6215,8.4008,8.418,8.4845,8.4606,8.1219,8.2203,8.8988,Idiopathic Pulmonary Arterial Hypertension
12.8545,8.4736,10.7237,10.7095,9.7003,8.5411,8.5663,8.2551,8.8118,8.1248,9.1793,9.1359,Idiopathic Pulmonary Arterial Hypertension
12.9544,8.2529,11.3064,10.6395,9.7986,8.6176,8.1079,8.5686,9.1196,8.2568,9.0618,9.1171,Idiopathic Pulmonary Arterial Hypertension
12.7137,8.3314,10.3848,10.4287,9.2959,8.6399,8.4647,8.4706,8.6924,8.0439,8.8748,8.8359,Idiopathic Pulmonary Arterial Hypertension
