KLHL21,MIR663AHG,Results
408.3789487,956.0238652,1
253.3197731,652.4903246,1
532.4446403,230.1379695,1
391.0745683,454.8498056,1
399.819591,64.775241,1
431.6825641,424.9608633,1
338.6340708,380.0730393,1
369.0346746,2387.193051,1
256.4293024,342.8348282,1
566.3539998,1415.885,1
333.7185059,971.2964936,1
306.4786083,226.6664707,1
339.8626437,2209.107184,1
321.6298536,600.2610636,1
215.0465588,467.2616587,1
487.4461209,508.0116215,1
309.1477909,1382.733756,1
254.3137316,23.44736533,1
393.7534201,1357.003312,1
394.3591134,463.081211,1
235.2632116,86.01020639,1
474.0517692,309.9802118,1
330.3584143,1056.420863,1
407.3633492,835.0137177,1
308.9096224,1056.49912,1
1136.36105,412.8042972,1
222.8792296,737.0655224,1
544.313046,524.7029363,1
245.6873439,637.4221644,1
308.1825037,388.3410842,1
397.4776156,430.3459569,1
589.7392303,240.8297654,1
231.2666475,1985.038724,1
336.5127303,183.076874,1
420.2725143,290.4130295,1
218.0172012,717.0927221,1
310.6655257,78.49261953,1
522.8323972,803.8925877,1
245.4065565,469.6853961,1
250.3288121,543.4599599,1
164.4927144,1038.36026,1
389.1091962,668.3891838,1
307.8441086,222.1221939,1
215.9605658,2729.294737,1
385.8834067,1243.271766,1
218.8757784,121.4493649,1
395.5771264,457.970995,1
434.4496898,1430.266956,1
390.4524853,373.672709,1
293.7169567,314.1748541,1
271.041918,167.8881007,0
298.4043093,780.4420397,0
343.6369211,72.41391057,0
271.0089456,91.31823168,0
379.5967467,70.90169118,0
205.7270191,75.34857901,0
485.1479808,185.1400372,0
296.9448023,47.18890269,0
198.4123391,197.8486677,0
229.3004877,23.62489873,0
294.0515912,53.62117251,0
364.68398,530.231313,0
500.095314,203.2150728,0
399.5032196,766.7388714,0
263.1726205,85.02500048,0
513.7115232,2354.753008,0
521.7995636,163.8291853,0
329.373008,26.29448383,0
320.9684808,72.58960192,0
414.8111878,152.4260489,0
292.6605965,192.0938278,0
154.2903961,155.8755714,0
294.7984292,312.0797164,0
271.4700958,65.67824899,0
390.9959465,28.2511522,0
256.4876732,84.90010087,0
283.3986089,81.93497195,0
485.1834573,542.5106093,0
389.3816167,72.71008075,0
302.6081069,29.04497455,0
594.9358343,1135.786593,0
355.3619255,744.2090737,0
263.006635,3003.366089,0
214.9120171,220.9780821,0
388.4275862,1547.445384,0
95.68287945,38.38441094,0
244.442212,101.6640392,0
296.915885,17.00399341,0
261.9596565,47.54590623,0
392.8524391,25.39350367,0
301.6493863,65.30119397,0
113.8434263,148.5753191,0
247.5193664,32.1148545,0
300.2199503,64.47239714,0
277.5779403,4215.399538,0
326.4870271,525.0264354,0
293.6742813,4194.80554,0
260.4425173,98.03505188,0
378.9389161,1348.342258,0
66.37088021,8.483495967,0
300.7058349,92.85599401,0
329.0416558,151.8165169,0
376.7395206,197.3397489,0
296.3798077,169.7510215,0
174.2429958,83.81308659,0
353.8350409,7208.064725,0
268.7634906,25.94499043,0
293.7160371,51.55653843,0
394.8370289,53.10673489,0
282.2085909,143.2885725,0
473.9666121,1080.511298,0
322.6732685,71.85301649,0
254.279318,76.05333075,0
791.9376109,4114.63237,0
379.7136999,3204.739086,0
351.9983789,1196.265167,0
