KLHL21,LZIC,MIR663AHG,Results
408.3789487,119.0824941,956.0238652,1
253.3197731,118.4352186,652.4903246,1
532.4446403,122.6867921,230.1379695,1
391.0745683,132.3637,454.8498056,1
399.819591,139.6018125,64.775241,1
431.6825641,135.1808722,424.9608633,1
338.6340708,110.0722601,380.0730393,1
369.0346746,80.72633507,2387.193051,1
256.4293024,158.3172215,342.8348282,1
566.3539998,116.8666984,1415.885,1
333.7185059,109.7758243,971.2964936,1
306.4786083,137.2768766,226.6664707,1
339.8626437,155.7703784,2209.107184,1
321.6298536,118.6762561,600.2610636,1
215.0465588,119.4703105,467.2616587,1
487.4461209,116.3919822,508.0116215,1
309.1477909,157.3843299,1382.733756,1
254.3137316,138.8805485,23.44736533,1
393.7534201,88.24229188,1357.003312,1
394.3591134,117.3561973,463.081211,1
235.2632116,112.1505632,86.01020639,1
474.0517692,138.0380631,309.9802118,1
330.3584143,117.0775699,1056.420863,1
407.3633492,118.4761932,835.0137177,1
308.9096224,118.4858826,1056.49912,1
1136.36105,126.8752628,412.8042972,1
222.8792296,129.0353434,737.0655224,1
544.313046,98.0505487,524.7029363,1
245.6873439,121.4787423,637.4221644,1
308.1825037,128.4093765,388.3410842,1
397.4776156,110.0707243,430.3459569,1
589.7392303,109.2544789,240.8297654,1
231.2666475,96.36110311,1985.038724,1
336.5127303,142.9743206,183.076874,1
420.2725143,129.0724576,290.4130295,1
218.0172012,140.5291598,717.0927221,1
310.6655257,113.1946197,78.49261953,1
522.8323972,157.1519344,803.8925877,1
245.4065565,104.0133749,469.6853961,1
250.3288121,115.4366025,543.4599599,1
164.4927144,157.9503905,1038.36026,1
389.1091962,106.6912312,668.3891838,1
307.8441086,127.2350431,222.1221939,1
215.9605658,166.6247469,2729.294737,1
385.8834067,118.4626872,1243.271766,1
218.8757784,160.1530086,121.4493649,1
395.5771264,116.0525955,457.970995,1
434.4496898,162.0643787,1430.266956,1
390.4524853,126.4936977,373.672709,1
293.7169567,153.4342311,314.1748541,1
271.041918,152.0992511,167.8881007,0
298.4043093,213.1459352,780.4420397,0
343.6369211,112.5707155,72.41391057,0
271.0089456,129.612974,91.31823168,0
379.5967467,109.0795249,70.90169118,0
205.7270191,149.0039315,75.34857901,0
485.1479808,116.894987,185.1400372,0
296.9448023,145.0195546,47.18890269,0
198.4123391,135.2811403,197.8486677,0
229.3004877,118.1244936,23.62489873,0
294.0515912,148.7555108,53.62117251,0
364.68398,118.7622172,530.231313,0
500.095314,124.3391416,203.2150728,0
399.5032196,106.7902837,766.7388714,0
263.1726205,134.9603182,85.02500048,0
513.7115232,108.3534663,2354.753008,0
521.7995636,98.15316826,163.8291853,0
329.373008,143.927701,26.29448383,0
320.9684808,132.9351746,72.58960192,0
414.8111878,95.55065752,152.4260489,0
292.6605965,160.4548444,192.0938278,0
154.2903961,133.1547254,155.8755714,0
294.7984292,151.4653998,312.0797164,0
271.4700958,129.8969813,65.67824899,0
390.9959465,129.9553001,28.2511522,0
256.4876732,144.7770141,84.90010087,0
283.3986089,124.3483692,81.93497195,0
485.1834573,118.8489737,542.5106093,0
389.3816167,134.896334,72.71008075,0
302.6081069,112.8025756,29.04497455,0
594.9358343,143.325451,1135.786593,0
355.3619255,118.4539752,744.2090737,0
263.006635,203.61804,3003.366089,0
214.9120171,143.8523986,220.9780821,0
388.4275862,81.44449389,1547.445384,0
95.68287945,278.1479054,38.38441094,0
244.442212,130.8176975,101.6640392,0
296.915885,156.0879395,17.00399341,0
261.9596565,122.0649708,47.54590623,0
392.8524391,112.0301632,25.39350367,0
301.6493863,121.3338314,65.30119397,0
113.8434263,337.6711797,148.5753191,0
247.5193664,126.1095506,32.1148545,0
300.2199503,153.691775,64.47239714,0
277.5779403,99.67571491,4215.399538,0
326.4870271,113.6086615,525.0264354,0
293.6742813,467.9841772,4194.80554,0
260.4425173,144.0997148,98.03505188,0
378.9389161,108.4201106,1348.342258,0
66.37088021,230.5514786,8.483495967,0
300.7058349,135.2868787,92.85599401,0
329.0416558,100.3640572,151.8165169,0
376.7395206,131.5598326,197.3397489,0
296.3798077,136.2115052,169.7510215,0
174.2429958,106.9719658,83.81308659,0
353.8350409,222.4711335,7208.064725,0
268.7634906,134.3817453,25.94499043,0
293.7160371,113.0077661,51.55653843,0
394.8370289,111.985941,53.10673489,0
282.2085909,124.9406455,143.2885725,0
473.9666121,101.0907809,1080.511298,0
322.6732685,110.4407476,71.85301649,0
254.279318,135.2059213,76.05333075,0
791.9376109,282.834861,4114.63237,0
379.7136999,121.3747604,3204.739086,0
351.9983789,111.1573828,1196.265167,0
