KLHL21,LZIC,NFIX,MIR663AHG,Results
408.3789487,119.0824941,173.5778728,956.0238652,1
253.3197731,118.4352186,100.8892603,652.4903246,1
532.4446403,122.6867921,139.5261557,230.1379695,1
391.0745683,132.3637,57.75870547,454.8498056,1
399.819591,139.6018125,211.0779405,64.775241,1
431.6825641,135.1808722,203.1447361,424.9608633,1
338.6340708,110.0722601,71.22322713,380.0730393,1
369.0346746,80.72633507,749.6016828,2387.193051,1
256.4293024,158.3172215,52.95822549,342.8348282,1
566.3539998,116.8666984,187.6609484,1415.885,1
333.7185059,109.7758243,121.1925101,971.2964936,1
306.4786083,137.2768766,62.78554824,226.6664707,1
339.8626437,155.7703784,481.4720786,2209.107184,1
321.6298536,118.6762561,100.6168258,600.2610636,1
215.0465588,119.4703105,25.66399262,467.2616587,1
487.4461209,116.3919822,165.3991326,508.0116215,1
309.1477909,157.3843299,50.58782033,1382.733756,1
254.3137316,138.8805485,97.39674828,23.44736533,1
393.7534201,88.24229188,72.67012273,1357.003312,1
394.3591134,117.3561973,51.8058889,463.081211,1
235.2632116,112.1505632,64.92927345,86.01020639,1
474.0517692,138.0380631,97.47424628,309.9802118,1
330.3584143,117.0775699,311.299275,1056.420863,1
407.3633492,118.4761932,135.5172895,835.0137177,1
308.9096224,118.4858826,167.8550003,1056.49912,1
1136.36105,126.8752628,182.0384206,412.8042972,1
222.8792296,129.0353434,82.11340037,737.0655224,1
544.313046,98.0505487,95.40053387,524.7029363,1
245.6873439,121.4787423,76.43606254,637.4221644,1
308.1825037,128.4093765,203.1202865,388.3410842,1
397.4776156,110.0707243,142.1746856,430.3459569,1
589.7392303,109.2544789,148.0221973,240.8297654,1
231.2666475,96.36110311,587.802729,1985.038724,1
336.5127303,142.9743206,85.43587453,183.076874,1
420.2725143,129.0724576,161.340572,290.4130295,1
218.0172012,140.5291598,63.04111843,717.0927221,1
310.6655257,113.1946197,93.36490533,78.49261953,1
522.8323972,157.1519344,256.8829697,803.8925877,1
245.4065565,104.0133749,118.6402558,469.6853961,1
250.3288121,115.4366025,77.82242862,543.4599599,1
164.4927144,157.9503905,117.7618296,1038.36026,1
389.1091962,106.6912312,84.7253895,668.3891838,1
307.8441086,127.2350431,69.54796848,222.1221939,1
215.9605658,166.6247469,430.0594027,2729.294737,1
385.8834067,118.4626872,96.1776272,1243.271766,1
218.8757784,160.1530086,68.73233286,121.4493649,1
395.5771264,116.0525955,141.0101429,457.970995,1
434.4496898,162.0643787,213.8078249,1430.266956,1
390.4524853,126.4936977,92.93414525,373.672709,1
