KLHL21,LZIC,NLRP6,MIR4537,HBA1,NFIX,JUND,MIR663AHG,PXK,Results
408.3789487,119.0824941,162.8133535,12.7828666,422.5073802,173.5778728,294.6787142,956.0238652,297.3698441,1
253.3197731,118.4352186,81.15005718,16.44933592,87.72979155,100.8892603,276.3488434,652.4903246,233.58057,1
532.4446403,122.6867921,180.4217531,4.81124675,258.2035756,139.5261557,255.7979522,230.1379695,304.7122942,1
391.0745683,132.3637,409.1241638,2.406612728,93.85789639,57.75870547,175.6827291,454.8498056,204.5620819,1
399.819591,139.6018125,136.251369,13.401774,751.6161585,211.0779405,243.465561,64.775241,385.3010025,1
431.6825641,135.1808722,197.1698909,26.8868033,842.4531701,203.1447361,289.0331355,424.9608633,297.2485476,1
338.6340708,110.0722601,122.3744539,19.42451649,325.0369093,71.22322713,171.583229,380.0730393,288.1303279,1
369.0346746,80.72633507,196.0496709,11.53233358,98751.37245,749.6016828,380.5670082,2387.193051,322.9053403,1
256.4293024,158.3172215,145.4957563,12.82146512,127.6571962,52.95822549,173.3685066,342.8348282,307.1577078,1
566.3539998,116.8666984,171.9288928,13.48461904,402.2911348,187.6609484,311.2699563,1415.885,206.7641587,1
333.7185059,109.7758243,84.30783308,13.17309892,432.0776445,121.1925101,275.7568707,971.2964936,249.4106729,1
306.4786083,137.2768766,257.5271639,3.192485503,55.33641539,62.78554824,218.1531761,226.6664707,274.5537533,1
339.8626437,155.7703784,169.9313219,28.32188698,165229.8886,481.4720786,892.1394398,2209.107184,368.1845307,1
321.6298536,118.6762561,139.315605,6.019810093,623.4803311,100.6168258,197.7937602,600.2610636,276.9112643,1
215.0465588,119.4703105,82.30176944,5.309791576,56.63777682,25.66399262,153.9839557,467.2616587,187.6126357,1
487.4461209,116.3919822,222.2824322,8.313713014,228.8458898,165.3991326,328.610446,508.0116215,226.6580706,1
309.1477909,157.3843299,230.4556259,22.4834757,33860.11441,50.58782033,275.4225774,1382.733756,224.834757,1
254.3137316,138.8805485,122.6477571,3.607286973,55.91294809,97.39674828,120.8441136,23.44736533,259.7246621,1
393.7534201,88.24229188,120.1281621,13.34757356,458.2666923,72.67012273,254.3454295,1357.003312,267.6930031,1
394.3591134,117.3561973,282.2892313,1.057263039,901.845372,51.8058889,182.9065057,463.081211,227.3115533,1
235.2632116,112.1505632,67.45898541,3.37294927,29.51330612,64.92927345,94.44257957,86.01020639,193.1013457,1
474.0517692,138.0380631,139.2489233,6.054301011,606.6409613,97.47424628,278.4978465,309.9802118,347.516878,1
330.3584143,117.0775699,232.3399837,3.630312245,1132.65742,311.299275,408.4101276,1056.420863,190.5913929,1
407.3633492,118.4761932,180.1487321,8.926288528,624.8401969,135.5172895,278.3379059,835.0137177,294.5675214,1
308.9096224,118.4858826,242.61395,15.51600843,7327.787619,167.8550003,348.4049166,1056.49912,289.1619753,1
1136.36105,126.8752628,665.6354369,8.274473663,467.048069,182.0384206,422.9175428,412.8042972,707.9271911,1
222.8792296,129.0353434,41.05670019,5.865242884,1274.712787,82.11340037,211.1487438,737.0655224,224.8343105,1
544.313046,98.0505487,169.0709461,4.240023728,240.0913436,95.40053387,200.8711241,524.7029363,307.4017203,1
245.6873439,121.4787423,117.3839532,2.729859376,51.86732815,76.43606254,221.1186095,637.4221644,267.5262189,1
308.1825037,128.4093765,101.1710239,21.01244343,842.8324532,203.1202865,317.5213674,388.3410842,277.0529578,1
397.4776156,110.0707243,169.6923667,19.10950075,412.7652162,142.1746856,221.6702087,430.3459569,259.8892102,1
589.7392303,109.2544789,371.2302725,9.398234746,491.0577655,148.0221973,231.4315306,240.8297654,619.1087139,1
231.2666475,96.36110311,211.9944268,9.636110311,119613.0373,587.802729,337.2638609,1985.038724,279.447199,1
336.5127303,142.9743206,115.0768922,26.15383914,169.1281598,85.43587453,129.0256064,183.076874,357.4358016,1
420.2725143,129.0724576,135.368675,7.870271803,319.5330352,161.340572,189.6735504,290.4130295,236.8951813,1
218.0172012,140.5291598,47.28083882,9.193496437,550.2964296,63.04111843,197.0034951,717.0927221,333.592585,1
310.6655257,113.1946197,202.4283346,3.304952401,530.4448604,93.36490533,171.0312868,78.49261953,257.7862873,1
522.8323972,157.1519344,181.3291551,6.04430517,586.2976015,256.8829697,761.5824515,803.8925877,265.9494275,1
245.4065565,104.0133749,86.13607611,4.875626949,2574.331029,118.6402558,186.8990331,469.6853961,286.036781,1
250.3288121,115.4366025,115.4366025,5.188161908,230.8732049,77.82242862,190.6649501,543.4599599,175.1004644,1
