KLHL21,LZIC,MIR8086,GHITM,FBXW4,NLRP6,MIR4537,HBA1,KAT8,NFIX,JUND,ZNF582,MIR663AHG,WNT7B,PXK,LOC101243545,EDNRA,MAP1B,MIR4660,KANTR,Results
408.3789487,119.0824941,1,958.714995,168.1956132,162.8133535,12.7828666,422.5073802,229.4188163,173.5778728,294.6787142,22.20182094,956.0238652,4.036694716,297.3698441,26.23851565,6.727824526,474.3116291,1,102.2629328,1
253.3197731,118.4352186,1,1178.869074,178.7494503,81.15005718,16.44933592,87.72979155,279.6387106,100.8892603,276.3488434,18.6425807,652.4903246,1,233.58057,15.35271352,1.096622394,195.1987862,1,103.0825051,1
532.4446403,122.6867921,4.009372291,962.2493499,149.1486492,180.4217531,4.81124675,258.2035756,278.250437,139.5261557,255.7979522,23.25435929,230.1379695,16.83936362,304.7122942,21.65061037,17.64123808,212.4967314,2.405623375,83.39494366,1
391.0745683,132.3637,1,1472.84699,105.89096,409.1241638,2.406612728,93.85789639,305.6398165,57.75870547,175.6827291,43.3190291,454.8498056,1.203306364,204.5620819,19.25290182,1.203306364,13.23637,1,50.53886729,1
399.819591,139.6018125,1.1168145,1269.818087,147.419514,136.251369,13.401774,751.6161585,217.7788275,211.0779405,243.465561,26.803548,64.775241,15.635403,385.3010025,33.504435,8.934516,293.7222135,2.233629,80.410644,1
431.6825641,135.1808722,1.493711295,1076.965843,143.3962843,197.1698909,26.8868033,842.4531701,236.7532402,203.1447361,289.0331355,29.12737024,424.9608633,11.20283471,297.2485476,32.86164848,4.481133884,368.9466897,1,79.16669861,1
338.6340708,110.0722601,1,898.7076296,172.2307129,122.3744539,19.42451649,325.0369093,246.0438755,71.22322713,171.583229,29.78425862,380.0730393,3.237419415,288.1303279,25.25187144,1,205.8998748,1,75.10813043,1
369.0346746,80.72633507,1,1245.492027,230.6466716,196.0496709,11.53233358,98751.37245,207.5820045,749.6016828,380.5670082,34.59700074,2387.193051,11.53233358,322.9053403,34.59700074,1,378514.2528,1,69.19400149,1
256.4293024,158.3172215,1,1167.310781,149.9553964,145.4957563,12.82146512,127.6571962,234.6885572,52.95822549,173.3685066,69.12442064,342.8348282,1,307.1577078,82.50334076,1,134.3466562,1,60.76259556,1
566.3539998,116.8666984,1,1143.945182,194.4032579,171.9288928,13.48461904,402.2911348,356.2186864,187.6609484,311.2699563,20.22692857,1415.885,3.371154761,206.7641587,31.4641111,2.247436507,843.9124085,1,74.16540474,1
333.7185059,109.7758243,1.756413189,1144.303193,191.4490376,84.30783308,13.17309892,432.0776445,225.6990948,121.1925101,275.7568707,29.85902422,971.2964936,6.147446162,249.4106729,25.46799124,5.269239567,251.167086,1,68.50011438,1
306.4786083,137.2768766,2.128323669,1329.138131,150.0468187,257.5271639,3.192485503,55.33641539,225.6023089,62.78554824,218.1531761,28.73236953,226.6664707,1.064161834,274.5537533,54.27225356,1.064161834,11.70578018,1.064161834,73.42716658,1
339.8626437,155.7703784,1,1940.049258,155.7703784,169.9313219,28.32188698,165229.8886,240.7360393,481.4720786,892.1394398,42.48283047,2209.107184,1,368.1845307,1,1,575118.3979,1,56.64377395,1
321.6298536,118.6762561,1,982.0890181,153.0751709,139.315605,6.019810093,623.4803311,272.6113999,100.6168258,197.7937602,19.77937602,600.2610636,3.439891482,276.9112643,22.35929463,3.439891482,289.8108573,1,92.01709714,1
215.0465588,119.4703105,1.769930525,1088.507273,169.0283652,82.30176944,5.309791576,56.63777682,288.4986757,25.66399262,153.9839557,42.47833261,467.2616587,1,187.6126357,22.12413157,1,111.5056231,1,76.1070126,1
487.4461209,116.3919822,1,1090.409096,167.5869518,222.2824322,8.313713014,228.8458898,227.0956344,165.3991326,328.610446,19.69037293,508.0116215,1,226.6580706,17.06498987,1.312691529,211.7808999,1,37.63049048,1
309.1477909,157.3843299,1,1478.288527,179.8678056,230.4556259,22.4834757,33860.11441,432.8069073,50.58782033,275.4225774,5.620868926,1382.733756,5.620868926,224.834757,16.86260678,1,165163.6125,1,78.69216496,1
254.3137316,138.8805485,3.607286973,1011.843996,128.0586876,122.6477571,3.607286973,55.91294809,239.8845837,97.39674828,120.8441136,36.07286973,23.44736533,21.64372184,259.7246621,367.9432713,41.48380019,129.862331,1.803643487,82.96760038,1
393.7534201,88.24229188,2.224595594,1094.501032,123.0942895,120.1281621,13.34757356,458.2666923,228.3918143,72.67012273,254.3454295,28.17821085,1357.003312,6.673786781,267.6930031,35.5935295,4.449191187,908.3765341,1,73.41165459,1
394.3591134,117.3561973,1,1555.23393,118.4134603,282.2892313,1.057263039,901.845372,250.5713402,51.8058889,182.9065057,28.54610204,463.081211,1.057263039,227.3115533,24.31704989,1,5599.265053,1,48.63409978,1
235.2632116,112.1505632,1,1145.116277,147.5665306,67.45898541,3.37294927,29.51330612,210.8093294,64.92927345,94.44257957,37.10244197,86.01020639,1,193.1013457,148.4097679,1,13.49179708,1,99.50200347,1
474.0517692,138.0380631,1,1424.577028,126.5348911,139.2489233,6.054301011,606.6409613,285.7630077,97.47424628,278.4978465,29.06064485,309.9802118,1.816290303,347.516878,24.21720404,1,214.9276859,1,78.10048304,1
330.3584143,117.0775699,1.815156123,1032.823834,117.0775699,232.3399837,3.630312245,1132.65742,235.0627179,311.299275,408.4101276,28.1349199,1056.420863,11.7985148,190.5913929,31.76523214,12.70609286,861.2915802,1,84.4047597,1
407.3633492,118.4761932,1,1010.293565,86.82844295,180.1487321,8.926288528,624.8401969,257.2394058,135.5172895,278.3379059,19.47553861,835.0137177,1,294.5675214,22.72146171,1,287.2641944,1,73.84475055,1
308.9096224,118.4858826,2.821092442,1156.647901,128.3597061,242.61395,15.51600843,7327.787619,270.8248745,167.8550003,348.4049166,21.15819332,1056.49912,14.10546221,289.1619753,21.15819332,8.463277327,4179.448453,1.410546221,64.88512618,1
1136.36105,126.8752628,1.838771925,1500.437891,92.85798221,665.6354369,8.274473663,467.048069,505.6622794,182.0384206,422.9175428,19.30710521,412.8042972,11.03263155,707.9271911,20.22649118,6.435701738,466.128683,1,78.14780681,1
222.8792296,129.0353434,1,1120.261391,152.496315,41.05670019,5.865242884,1274.712787,256.1156059,82.11340037,211.1487438,33.23637634,737.0655224,1,224.8343105,17.59572865,1,9014.878313,1,105.5743719,1
544.313046,98.0505487,1,1049.405873,166.9509343,169.0709461,4.240023728,240.0913436,278.2515571,95.40053387,200.8711241,22.26012457,524.7029363,1,307.4017203,19.61010974,1,191.3310707,1.060005932,49.8202788,1
245.6873439,121.4787423,1,1053.725719,133.7631094,117.3839532,2.729859376,51.86732815,255.2418517,76.43606254,221.1186095,16.37915626,637.4221644,1,267.5262189,12.28436719,5.459718753,196.5498751,1,72.34127348,1
308.1825037,128.4093765,1.556477291,1290.319674,148.6435813,101.1710239,21.01244343,842.8324532,231.1368777,203.1202865,317.5213674,32.68602311,388.3410842,11.67357968,277.0529578,36.57721634,9.338863747,333.864379,1,77.82386456,1
397.4776156,110.0707243,1,1261.99143,131.4733652,169.6923667,19.10950075,412.7652162,237.7221893,142.1746856,221.6702087,29.81082117,430.3459569,1,259.8892102,25.22454099,1,326.3902728,1,53.5066021,1
